Query_id	Relevant_Doc_id
1	12
1	29
1	30
1	31
1	37
1	51
1	56
1	57
1	66
1	95
1	102
1	184
1	185
1	378
1	497
1	858
1	859
1	875
1	876
1	879
1	880
2	12
2	15
2	51
2	102
2	184
2	202
2	285
2	390
2	391
2	497
2	643
2	658
2	746
2	856
2	857
2	858
2	859
2	864
2	877
2	948
3	5
3	6
3	90
3	91
3	119
3	144
3	181
3	399
4	166
4	236
5	401
5	552
5	1296
5	1297
6	99
6	115
6	257
6	258
7	20
7	56
7	57
7	58
8	20
8	48
8	58
8	122
8	196
8	197
8	354
8	360
8	999
8	1005
8	1112
9	21
9	22
9	550
10	259
10	302
10	405
10	436
10	437
10	438
10	998
10	1011
11	27
11	28
11	262
11	263
12	86
12	194
12	650
12	652
13	64
13	265
14	64
15	462
15	463
16	106
16	196
16	266
17	106
17	196
18	196
18	197
18	198
19	32
19	67
19	164
19	639
19	715
19	716
19	717
20	87
20	88
20	104
20	267
20	268
20	269
20	270
20	407
20	408
21	16
21	271
21	413
21	414
22	68
23	200
23	201
23	544
23	593
23	597
23	601
23	634
23	687
23	698
23	700
23	704
23	705
23	749
23	899
23	900
23	901
23	902
23	903
23	917
23	919
23	1109
23	1112
23	1141
23	1197
23	1256
23	1259
23	1272
23	1289
23	1290
24	46
24	47
24	92
25	212
25	213
25	214
25	215
25	216
25	276
25	277
25	426
25	427
26	145
26	376
26	406
26	565
26	611
26	1076
27	224
27	278
27	428
28	224
28	279
29	225
29	250
29	514
29	609
29	612
29	793
30	225
30	464
30	466
30	514
30	609
30	612
32	249
32	465
32	777
32	778
33	252
33	431
34	252
34	431
34	672
34	714
34	799
34	800
35	132
35	166
35	167
36	168
36	169
37	97
37	121
37	172
37	173
37	187
37	188
37	242
37	409
37	487
38	24
38	272
38	283
38	552
38	553
38	554
38	555
38	556
39	24
39	79
39	207
39	272
39	283
39	418
39	505
39	552
39	554
39	555
39	556
39	1257
40	24
40	85
40	272
40	283
40	552
40	553
40	554
40	555
40	556
40	976
41	288
41	289
41	433
42	467
42	468
42	469
42	470
43	39
43	467
43	468
43	469
43	503
43	775
44	302
44	436
45	305
45	308
45	338
45	481
45	570
45	572
45	629
45	663
45	798
45	1185
46	305
46	338
46	344
46	481
46	570
46	623
46	798
47	304
47	305
47	306
47	307
47	309
47	310
47	570
47	572
47	629
47	663
47	798
47	1185
47	1355
48	311
48	316
48	439
48	440
48	797
48	798
49	320
50	326
50	629
51	23
51	94
51	105
51	192
51	381
51	494
51	629
52	21
52	22
52	306
53	33
53	296
54	24
54	84
54	101
54	294
54	364
54	365
54	560
55	16
55	255
55	271
55	375
55	378
55	460
55	502
55	562
56	380
56	749
56	1339
57	380
57	593
57	746
57	914
58	785
58	786
58	787
58	788
59	785
59	786
59	787
59	788
60	475
60	476
60	527
61	564
61	565
61	566
61	1159
62	566
62	567
62	1078
62	1081
62	1084
63	564
63	566
63	567
64	390
64	391
65	2
65	3
65	4
65	128
65	180
65	323
65	324
65	384
65	393
65	394
65	629
65	659
65	664
65	1302
66	180
66	629
66	659
66	660
66	664
67	2
67	3
67	4
67	128
67	180
67	323
67	324
67	389
67	393
67	394
67	629
67	659
67	664
67	1302
68	62
68	101
68	460
68	661
68	662
69	62
69	458
69	570
69	977
70	62
70	101
70	283
70	307
70	333
70	565
70	568
70	570
70	977
71	101
71	569
71	571
71	572
71	655
71	1213
71	1355
72	21
72	94
72	304
72	324
72	494
72	570
72	630
72	664
73	68
73	160
73	332
73	401
73	421
73	571
73	572
73	573
73	574
73	578
73	625
73	1213
73	1252
73	1304
74	575
74	576
74	656
75	324
75	378
75	666
75	667
75	670
76	324
76	329
76	378
76	666
76	667
76	670
76	1391
77	666
77	667
77	668
77	670
78	588
78	589
78	590
79	597
79	598
80	594
80	596
80	597
80	598
81	672
82	205
82	676
82	677
82	678
82	679
83	680
83	681
83	682
83	683
84	142
84	294
84	406
84	606
84	608
84	962
84	1192
84	1213
85	406
85	606
85	608
85	710
86	594
86	790
87	562
87	606
87	611
88	613
88	614
88	615
88	616
88	617
89	793
89	794
89	797
90	256
90	291
90	311
90	335
90	793
90	794
90	796
90	797
90	798
90	1364
91	252
91	797
91	799
91	800
91	801
91	1154
92	253
92	802
92	803
92	808
92	809
92	811
92	1247
93	691
94	24
94	283
94	294
94	559
94	1393
95	283
96	703
96	704
96	705
96	779
96	1289
97	681
97	699
97	700
97	701
97	702
97	703
97	779
98	713
99	717
99	719
99	1001
99	1379
100	820
100	821
100	822
100	823
100	824
100	825
100	1051
100	1121
100	1122
101	817
101	818
101	819
101	820
101	824
101	825
102	728
102	910
102	913
103	826
103	828
104	833
104	834
104	835
104	836
104	837
105	848
106	846
106	847
106	849
107	725
107	728
107	729
107	911
108	75
108	724
108	726
108	727
108	909
109	12
109	606
109	860
109	861
109	980
110	31
110	862
110	863
111	15
111	391
111	392
111	627
111	658
111	864
111	914
112	731
113	265
113	746
113	748
113	749
114	916
114	919
114	920
114	921
115	51
115	185
115	878
116	360
116	605
116	922
116	927
117	360
117	605
118	923
118	924
118	925
120	829
120	885
120	886
120	887
120	888
120	890
120	891
120	1146
121	885
121	886
121	887
121	888
121	890
121	891
121	1146
122	932
122	936
122	937
122	938
122	957
122	1131
123	966
123	967
124	964
124	965
124	967
124	968
125	173
125	174
125	176
125	187
125	409
125	946
125	969
125	970
125	971
125	972
125	973
125	992
125	994
125	995
125	997
126	187
126	969
126	970
126	971
126	972
126	973
126	974
126	1326
127	101
127	164
127	981
128	985
128	990
129	984
129	985
129	987
129	988
129	989
129	990
130	12
130	766
130	858
130	859
130	1008
131	1013
131	1014
131	1016
131	1017
131	1018
131	1019
131	1020
132	951
132	1013
132	1014
132	1015
132	1016
132	1017
132	1023
132	1025
132	1026
133	1018
133	1019
133	1020
133	1024
134	1027
134	1028
135	1018
136	1021
137	951
137	1021
137	1029
137	1034
138	846
138	1036
139	1031
139	1032
139	1035
140	1038
140	1039
140	1041
140	1042
141	1038
141	1039
141	1041
141	1042
141	1043
141	1044
142	1042
143	1043
143	1044
144	763
144	838
144	839
144	840
144	841
144	1045
145	743
145	763
145	838
145	839
145	841
145	1045
146	840
146	1045
147	843
147	889
147	1046
147	1048
147	1050
148	843
148	889
148	1046
148	1048
148	1049
148	1050
149	930
149	931
149	934
149	936
149	937
149	938
149	1057
149	1058
149	1059
149	1131
150	1074
150	1075
151	687
151	1074
151	1076
152	569
152	572
152	655
152	1076
152	1077
153	1078
153	1083
153	1084
153	1085
154	1087
154	1088
155	983
155	1100
155	1101
155	1103
155	1104
156	82
156	274
156	553
156	983
156	1096
156	1097
156	1098
156	1099
156	1100
156	1101
156	1102
156	1104
157	19
157	25
157	35
157	36
157	44
157	93
157	160
157	161
157	215
157	273
157	302
157	318
157	354
157	369
157	370
157	372
157	410
157	421
157	423
157	456
157	482
157	556
157	557
157	572
157	605
157	626
157	655
157	657
157	689
157	1011
157	1105
157	1106
157	1107
157	1151
157	1304
157	1307
158	302
158	552
158	998
158	1009
158	1010
158	1011
159	231
159	234
159	1108
159	1110
159	1111
159	1112
160	1134
160	1137
160	1138
161	54
161	336
161	562
161	1386
162	54
162	111
162	155
162	458
162	459
162	460
162	461
162	562
163	20
163	56
163	57
164	311
164	415
164	416
164	798
164	1364
164	1367
165	71
165	72
166	40
166	41
166	74
166	170
166	207
166	272
166	418
166	1264
167	82
167	274
168	217
168	774
169	118
169	157
169	774
169	775
170	139
170	238
170	239
170	672
170	904
170	906
171	252
171	431
172	320
172	321
172	322
172	476
173	367
173	451
174	36
174	58
174	411
174	482
175	351
175	964
175	965
175	966
175	967
176	582
176	583
176	584
176	585
176	586
176	982
177	588
177	589
177	592
177	772
178	590
178	591
179	680
179	681
179	682
179	683
180	619
180	620
180	621
180	622
181	409
181	973
181	974
181	997
181	1061
182	685
182	686
183	253
183	802
183	803
183	807
183	808
183	809
183	811
184	32
184	67
184	499
184	715
184	716
184	1379
185	766
185	856
185	857
185	858
185	859
185	1008
186	225
186	923
186	924
186	1062
186	1074
186	1075
186	1280
186	1304
186	1305
186	1309
186	1378
187	838
187	839
187	840
187	842
187	1045
188	75
188	721
188	722
188	723
188	725
188	728
188	729
188	909
188	911
189	395
189	865
189	866
189	868
189	869
189	870
189	872
189	873
190	15
190	285
190	390
190	391
190	864
191	15
191	285
191	391
191	658
191	856
191	857
191	858
191	864
191	914
191	915
191	948
192	733
192	734
192	735
192	736
193	422
193	648
193	730
193	1392
194	739
194	740
194	742
194	743
194	744
195	739
195	742
195	743
196	13
196	51
196	185
196	202
196	746
196	874
196	875
196	876
196	878
196	879
196	880
197	881
197	883
197	884
198	843
198	887
198	888
198	889
199	743
199	744
199	1052
199	1053
199	1054
199	1055
199	1056
199	1060
200	1134
200	1137
200	1138
201	93
201	318
201	401
201	541
201	552
201	625
201	1151
201	1295
201	1296
202	605
202	1110
202	1303
202	1304
202	1306
202	1308
202	1309
203	19
203	58
203	122
203	1305
203	1306
203	1307
203	1310
204	63
204	540
204	572
204	1311
205	1321
205	1322
206	1338
206	1340
206	1341
207	1338
207	1339
207	1340
207	1341
208	163
208	1344
208	1345
208	1346
209	187
209	487
209	1350
209	1351
209	1356
209	1383
209	1385
210	891
210	1171
210	1172
210	1173
210	1174
211	763
211	891
211	1172
211	1173
211	1174
212	769
212	843
212	885
212	886
212	887
212	888
212	889
212	890
212	891
212	1173
212	1178
213	769
213	843
213	885
213	886
213	887
213	888
213	889
213	890
213	1173
213	1178
214	833
214	1361
214	1362
214	1363
216	156
217	37
217	559
217	630
217	666
217	667
217	668
217	670
217	1107
217	1204
217	1213
217	1258
217	1300
217	1394
217	1395
218	24
218	93
218	101
218	559
218	630
218	662
218	666
218	667
218	1104
218	1107
218	1204
218	1213
218	1300
218	1393
219	559
219	630
219	662
219	666
219	667
219	1078
219	1080
219	1081
219	1107
219	1198
219	1204
219	1213
219	1214
219	1258
219	1300
219	1391
219	1394
219	1395
220	62
220	150
220	155
220	241
220	292
220	376
220	459
220	1365
220	1366
220	1382
220	1383
220	1384
220	1385
221	62
221	111
221	150
221	155
221	292
221	458
221	459
221	461
221	479
221	1365
221	1366
221	1382
221	1383
221	1385
222	400
222	419
222	1387
222	1397
222	1400
223	400
223	1387
223	1392
223	1398
224	656
224	1157
224	1274
224	1313
224	1317
224	1318
224	1319
225	40
225	225
225	293
225	433
225	448
225	449
225	923
225	924
225	1062
225	1074
225	1075
225	1124
225	1213
225	1280
225	1304
225	1305
225	1309
225	1378
225	1379
225	1381
